ID,Time clock,First name,Name, Email Address:, 4. Please indicate which category of members you identify with:, 4.1. Please specify which other category of members if applicable:,"5. Please specify your job title: (e.g. for researchers indicate whether regular, postdoctoral or other, for students indicate the level of study, if industrialists/research professionals indicate the job position)", 6. Please indicate your affiliate organization:, 6.1. Please specify which other affiliate organization if applicable:,7. Please briefly describe your skills or expertise:, 7.1. Please indicate the number of years of experience (professional/study) in AI:, 7.2. Please indicate the number of years of experience (professional/study) in health:,8. Could you tell us how you would like to get involved in the community:," 9. What topics, needs or challenges do you want the community to address:"
111,7-23-2023 9:28:52,Philip,Simmons,philip.foster@example.com,Students,health professional,professional student,Other,Ministry of Health,nurse anesthetist master's degree in project management - master's degree in health,2,18,"Participate in the logistical management of the community (list of members, event broadcasting, etc.), Attend community activities only, Be part of the organizing core",frazione chez-sapin 85 Fénis AOSTE Italy.
112,8-2-2023 14:27:27,Kara,Foster,kara.gonzales@example.com,Other,,"Programming, Planning and Research Officer",CHUM- Hospital Center of the University of Montreal,ADEAC CHUM,Educational consultancy - integration of health AI skills,0.5,0.5,"Attend community activities only, Other",Nothing for the moment.
114,8-9-2023 8:40:51,Donald,Gonzalez,donald.bryant@example.com,Other,Continuous improvement agent,"Planning, programming and research agent",CHUM- Hospital Center of the University of Montreal,,"Doctorate in medicine, master's degree in health services administration, LeanSix Sigma certificate (green belt) and project management Eleven years of experience in the field of health and social services, including 7 years in management, particularly in project management (5 years) Coordination and management of innovative projects Optimization and improvement of processes and procedures in the field of health Management of multidisciplinary teams Strong analytical, synthesis and problem-solving skills focused on innovative results Excellent knowledge of the process, of different performance evaluation models and integrated performance and quality management (Three levels of the control room) Very good ability to maintain constructive relationships with internal and external partners and to promote mobilization around shared projects, team spirit, leadership, autonomy, knowing how to adapt to change, organizational skills Microsoft Office, Planner, Forms, Lists, Visio, Smartsheet, ACCESS, Lime Survey",0,11,"Suggested activities or speakers, Attend community activities only, Be part of the organizing core",Use of AI in the management of clinical and administrative data in order to have reliable data that allows us to properly evaluate our clinical and administrative performance in order to improve our performance (Tailored management). Use of AI to improve accessibility and continuity of services.
115,8-22-2023 9:24:06,Monica,Bryant,monica.alexander@example.com,Other,CHUM employee,APPR,CHUM- Hospital Center of the University of Montreal,CHUM,Educational advisor at the CHUM with responsibilities to support the community of practice,3,1,"Organization of community activities (workshops, conferences or meetings), Suggestion of activities or speakers, Participate in the logistical management of the community (list of members, event broadcasting, etc.)","I follow the community as it goes. Where you go, I will go."
116,8-24-2023 19:07:42,Keith,Alexander,keith.russell@example.com,Researchers,Resident doctor,Resident doctor,"CRCHUM- Research Center of the Hospital Center of the University of Montreal, CHUM- Hospital Center of the University of Montreal, ÉIAS- School of Artificial Intelligence in Health",,AutoML and ChatGPT,2,9,Conference Presentation,
117,8-30-2023 23:17:42,Cassandra,Russell,cassandra.griffin@example.com,Students," Researcher, Health professional"," Master's student (medical sciences, computational medicine option), student-researcher and research agent","CRCHUM- Research Center of the University of Montreal Hospital Center, UDEM- University of Montreal",," Doctor of Medicine (Laureate of Med V University of Rabat), Master's degree in computational medicine, medical sciences (courses in AI), working on some research projects under the supervision of my research director",1.5,8,Attend community activities only,
118,9-3-2023 15:59:28,Shawn,Griffin,shawn.diaz@example.com,Students,,Baccalaureate student,Polytechnique Montreal,,Software development,1,3,,
119,9-10-2023 0:35:56,Stacey,Diaz,stacey.hayes@example.com,Researchers,Endocrinologist," Regular researcher, cardiometabolic axis","CRCHUM- Research Center of the University of Montreal Hospital Center, CHUM- University of Montreal Hospital Center, UDEM- University of Montreal", Professional Council Member of Diabète Québec," am a clinical researcher interested in the question of the heterogeneity of diabetes; my research program aims to better understand the more atypical and rare forms of diabetes such as LADA (latent autoimmune diabetes in adults), and to identify subtypes of autoimmune diabetes (including LADA) through cohorts and biobanks under development and using artificial intelligence.",0,15,Attend community activities only," I hope, through my application for membership in the CHUM AI community, to be able to establish collaborations and better seize the opportunities that AI offers in the field of health."
,,,,dustin.myers@example.com,,,,,,,,,,
,,,,rachael.ford@example.com,,,,,,,,,,
